TimeOfDay,Price,10minSD,10minAverage,Bollinger,Volume
09:30:02,549.42,0.0,549.42,0,"748,773 "
09:31:01,549.25,0.08499999999997954,549.335,0,"917,246 "
09:32:01,549.17,0.10424330514074201,549.2800000000001,0,"934,954 "
09:33:01,548.92,0.18013883534652161,549.19,0,"1,500,119 "
09:34:01,549.0,0.17814600753314433,549.152,0,"1,606,267 "
09:35:01,548.98,0.1748014746950173,549.1233333333333,0,"1,692,482 "
09:36:01,549.06,0.16334513354569036,549.1142857142858,0,"1,783,728 "
09:37:02,549.12,0.1528070678993562,549.115,0,"1,901,531 "
09:38:01,549.03,0.14652349914763807,549.1055555555555,0,"1,961,833 "
09:39:01,549.21,0.1424921050444548,549.116,0,"2,065,013 "
09:40:01,549.28,0.14380887224207273,549.1309090909091,0,"2,137,575 "
09:41:02,549.44,0.14753063836438585,549.1327272727272,1,"2,247,082 "
09:42:02,549.42,0.16666887050885437,549.1481818181818,0,"2,364,006 "
09:43:01,549.62,0.21517242749414514,549.1890909090909,1,"2,541,978 "
09:44:01,549.8,0.25931569196477827,549.2690909090909,1,"2,632,303 "
09:45:01,549.96,0.31055003190154884,549.3563636363635,0,"2,728,951 "
09:46:01,549.98,0.33265026431240796,549.4472727272728,0,"2,891,074 "
09:47:01,549.95,0.3368252360934797,549.5281818181818,0,"2,979,322 "
09:48:01,550.04,0.33929922920948746,549.6118181818182,0,"3,099,594 "
09:49:01,550.07,0.3074018018304353,549.7063636363637,0,"3,189,612 "
09:50:01,549.99,0.2727333332660058,549.7772727272727,0,"3,300,600 "
09:51:01,549.99,0.22770867280238624,549.8418181818182,0,"3,387,024 "
09:52:01,549.82,0.18979763037475897,549.8763636363636,0,"3,487,549 "
09:53:01,549.97,0.1240434474670288,549.9263636363636,0,"4,052,808 "
09:54:01,550.02,0.0795545449351267,549.9627272727273,0,"4,099,241 "
09:55:01,549.85,0.07110695006190206,549.9672727272728,0,"4,135,072 "
09:56:01,549.89,0.0745232782978801,549.9609090909091,0,"4,183,683 "
09:57:01,549.69,0.10722649234752603,549.9345454545454,-1,"4,227,365 "
09:58:01,549.62,0.1398937022666918,549.9045454545454,-1,"4,271,526 "
09:59:01,549.49,0.17613856303612035,549.8545454545455,-1,"4,303,647 "
10:00:01,549.61,0.17462119568789286,549.8127272727271,0,"4,383,837 "
10:01:02,549.72,0.16677792429772062,549.7881818181818,0,"4,708,650 "
10:02:01,549.57,0.1642614324234871,549.7499999999999,0,"5,089,435 "
10:03:01,549.68,0.16376762412254056,549.7372727272729,0,"5,138,428 "
10:04:01,549.8,0.14837410836481635,549.7218181818181,0,"5,429,238 "
10:05:02,549.68,0.11461037121517646,549.6909090909093,0,"5,483,142 "
10:06:01,549.57,0.1073112411601656,549.6654545454546,0,"5,512,073 "
10:07:02,549.62,0.08073013917923112,549.6409090909091,0,"5,574,445 "
10:08:01,549.39,0.1061964498013496,549.6136363636364,-1,"5,635,365 "
10:09:01,549.36,0.12869979162233752,549.5899999999999,0,"5,723,220 "
10:10:01,549.09,0.19250845210594167,549.5536363636364,-1,"5,787,413 "
10:11:01,548.89,0.269302742173459,549.4881818181819,-1,"5,920,736 "
10:12:01,548.65,0.34934886302830703,549.3909090909091,-1,"6,632,545 "
10:13:02,548.47,0.4315396230718352,549.2909090909092,0,"6,795,112 "
10:14:01,548.75,0.4380799579834371,549.2063636363637,0,"7,208,715 "
10:15:01,548.69,0.41705381463009666,549.1054545454546,0,"7,322,916 "
10:16:01,548.59,0.3978184311117711,549.0063636363636,0,"7,419,787 "
10:17:01,548.69,0.3634249385367039,548.9263636363637,0,"7,507,961 "
10:18:02,548.82,0.28996152494841154,548.8536363636364,0,"7,594,041 "
10:19:01,548.55,0.24591539229029705,548.7772727272727,0,"7,685,572 "
10:20:01,548.57,0.16838071776692076,548.7054545454546,0,"7,691,507 "
10:21:02,548.54,0.12205539996722063,548.6554545454545,0,"7,956,460 "
10:22:01,548.7,0.0988863610246479,548.6381818181818,0,"8,043,012 "
10:23:02,548.82,0.11194744930083213,548.6536363636363,0,"8,115,375 "
10:24:01,548.99,0.13235314643749022,548.7009090909091,1,"8,207,485 "
10:25:02,548.68,0.13152003900988002,548.6945454545456,0,"8,672,041 "
10:26:01,549.13,0.18147695252434276,548.7345454545456,1,"8,732,496 "
10:27:01,549.09,0.2011331535439868,548.78,0,"8,801,721 "
10:28:01,549.16,0.22587570633148107,548.8227272727273,0,"8,842,689 "
10:29:01,549.12,0.24147275396841927,548.85,0,"8,883,389 "
10:30:01,549.01,0.22517945093628236,548.8918181818182,0,"8,933,930 "
10:31:01,549.12,0.20862398458027398,548.9418181818181,0,"9,003,276 "
10:32:01,549.26,0.1837533380817783,549.0072727272727,0,"9,057,401 "
10:33:02,549.37,0.18284708871415062,549.0681818181819,0,"9,125,520 "
10:34:02,549.22,0.16913489164052428,549.1045454545455,0,"9,223,690 "
10:35:02,549.09,0.16537960340726593,549.1136363636365,0,"9,320,217 "
10:36:01,548.93,0.11315899733422767,549.1363636363636,0,"9,414,220 "
10:37:02,549.03,0.11724805942112138,549.1272727272727,0,"9,469,332 "
10:38:01,549.16,0.11695163936608853,549.1336363636364,0,"9,534,607 "
10:39:02,549.05,0.11895550942744756,549.1236363636364,0,"9,576,910 "
10:40:02,549.13,0.11896245674878088,549.1245454545456,0,"9,602,487 "
10:41:01,548.95,0.12529634293833322,549.1190909090909,0,"9,638,064 "
10:42:02,548.99,0.13066897170059286,549.1072727272726,0,"9,679,771 "
10:43:01,548.86,0.1385282738094597,549.070909090909,0,"9,734,929 "
10:44:01,549.0,0.10189931832146992,549.0372727272727,0,"9,786,438 "
10:45:01,549.03,0.08399134154509265,549.02,0,"9,824,645 "
10:46:01,548.97,0.0819594739606041,549.0090909090909,0,"9,858,828 "
10:47:01,548.8,0.09991732119296987,548.9972727272727,0,"9,900,807 "
10:48:01,548.74,0.12332179232726208,548.9709090909091,0,"9,987,971 "
10:49:01,548.72,0.1268108502279499,548.9309090909092,0,"10,050,072 "
10:50:01,548.72,0.13392362446589243,548.9009090909092,0,"10,125,559 "
10:51:01,548.95,0.11452380747835172,548.8845454545453,0,"10,159,878 "
10:52:02,548.96,0.11507812653415607,548.8854545454545,0,"10,198,609 "
10:53:02,548.9,0.1104610922115183,548.8772727272727,0,"10,239,835 "
10:54:02,548.77,0.11468966391207411,548.8690909090909,0,"10,302,735 "
10:55:02,548.88,0.10718023747774248,548.8581818181818,0,"10,348,618 "
10:56:02,548.89,0.09345525291561595,548.8454545454547,0,"10,426,627 "
10:57:02,549.02,0.10036297759994539,548.85,0,"10,481,699 "
10:58:01,549.09,0.11994489092706072,548.8763636363636,0,"10,547,741 "
10:59:02,549.18,0.13956248045377653,548.9163636363637,0,"10,582,496 "
11:00:02,549.24,0.1525106689128018,548.9636363636364,0,"10,631,654 "
11:01:02,549.36,0.16958871005616305,549.0218181818182,0,"10,694,726 "
11:02:02,549.31,0.1864678201027821,549.0545454545455,0,"10,758,970 "
11:03:01,549.16,0.18611291338573305,549.0727272727272,0,"10,833,064 "
11:04:02,549.2,0.18070568738848813,549.0999999999999,0,"10,879,060 "
11:05:02,549.15,0.1476090435985071,549.1345454545454,0,"10,926,741 "
11:06:02,549.21,0.12456204269093886,549.1645454545454,0,"10,972,119 "
11:07:02,549.35,0.10020639856840602,549.2063636363637,0,"11,266,734 "
11:08:02,549.47,0.10737283464562095,549.2472727272727,1,"11,328,562 "
11:09:02,549.52,0.12047426939715458,549.2863636363636,0,"11,373,532 "
11:10:02,549.4,0.11941316565702152,549.3063636363636,0,"11,415,253 "
11:11:01,549.29,0.11774043450469973,549.3109090909091,0,"11,451,518 "
11:12:02,549.29,0.1168031472461748,549.3045454545454,0,"11,803,720 "
11:13:04,549.31,0.11680314724617481,549.3045454545455,0,"11,839,007 "
11:14:02,549.34,0.10765724613154273,549.320909090909,0,"11,872,912 "
11:15:02,549.41,0.10304456229312704,549.34,0,"11,944,458 "
11:16:02,549.31,0.08489176385402844,549.3545454545455,0,"11,978,430 "
11:17:02,549.32,0.07290886420278335,549.3645454545455,0,"12,025,812 "
11:18:02,549.3,0.0751967117269562,549.3600000000001,0,"12,176,270 "
11:19:02,549.19,0.0808324458217068,549.3345454545455,0,"12,242,931 "
11:20:02,549.02,0.10166384406504336,549.2890909090908,-1,"12,329,166 "
11:21:02,548.95,0.13415175815050576,549.2481818181818,-1,"12,386,286 "
11:22:02,549.0,0.15080500243800377,549.2218181818181,0,"12,542,407 "
11:23:02,548.78,0.19471954827221843,549.1754545454545,-1,"12,610,014 "
11:24:02,548.84,0.21136314760451239,549.1327272727273,0,"12,668,796 "
11:25:02,548.92,0.20838616410027688,549.0945454545454,0,"12,718,171 "
11:26:02,548.8,0.19796485204356262,549.0390909090909,0,"12,773,699 "
11:27:02,548.79,0.18953618900398508,548.9918181818182,0,"12,828,492 "
11:28:02,548.71,0.17400484461765284,548.9363636363637,0,"12,872,185 "
11:29:02,548.9,0.13059305285714376,548.9,0,"12,915,741 "
11:30:02,548.81,0.09461535877278571,548.8654545454544,0,"12,980,551 "
11:31:02,548.8,0.08228151635625858,548.8454545454546,0,"13,018,614 "
11:32:02,548.88,0.07645016742410295,548.8390909090908,0,"13,057,849 "
11:33:02,548.9,0.06120011883529089,548.8299999999999,0,"13,111,539 "
11:34:02,548.95,0.06773794912799241,548.8454545454546,0,"13,160,349 "
11:35:02,548.97,0.07652580183904518,548.8572727272727,0,"13,170,381 "
11:36:02,548.98,0.08269230030013659,548.8627272727273,0,"13,179,954 "
11:37:02,548.97,0.0853674604623306,548.8781818181819,0,"13,234,561 "
11:38:02,548.87,0.08083244582172751,548.8854545454545,0,"13,317,604 "
11:39:02,548.89,0.058901795283390374,548.9018181818182,0,"13,354,718 "
11:40:02,548.84,0.06153679273009687,548.8963636363637,0,"13,392,655 "
11:41:02,549.03,0.06581968858145547,548.9163636363636,0,"13,507,714 "
11:42:02,549.06,0.06646940512882898,548.9399999999998,0,"13,561,264 "
11:43:02,549.05,0.07037091811039646,548.9554545454545,0,"13,612,788 "
11:44:02,548.97,0.06819999757638505,548.9618181818182,0,"13,657,627 "
11:45:02,548.91,0.06978124022687701,548.9581818181819,0,"13,697,487 "
11:46:02,548.88,0.07311261550137749,548.9499999999999,0,"13,740,271 "
11:47:02,548.83,0.07991731263938212,548.9363636363637,0,"13,800,332 "
11:48:02,548.66,0.11150362259243948,548.9081818181819,-1,"13,858,708 "
11:49:02,548.6,0.14259113368282952,548.8836363636365,0,"13,915,334 "
11:50:02,548.38,0.20307145670655263,548.8372727272728,-1,"14,013,784 "
11:51:02,548.59,0.2151263322863315,548.8145454545455,0,"14,114,072 "
11:52:02,548.72,0.2051284620680602,548.7863636363637,0,"14,168,804 "
11:53:02,548.74,0.1860640607713941,548.7572727272727,0,"14,222,537 "
11:54:02,548.61,0.1649292360152135,548.7172727272726,0,"14,269,833 "
11:55:02,548.6,0.14667668385525942,548.6836363636364,0,"14,325,641 "
11:56:02,548.62,0.12856486930664793,548.6572727272728,0,"14,385,027 "
11:57:02,548.57,0.1091666403802092,548.6290909090909,0,"14,439,119 "
11:58:02,548.47,0.09735340749256323,548.5963636363638,0,"14,481,876 "
11:59:02,548.59,0.09525086494477475,548.59,0,"14,515,953 "
12:00:02,548.33,0.12085781551164798,548.5654545454546,0,"14,569,599 "
12:01:02,548.3,0.13354047270861968,548.5581818181819,0,"14,643,067 "
12:02:02,548.36,0.1444796877256151,548.5372727272727,0,"14,697,152 "
12:03:02,548.35,0.14105271273037087,548.5036363636364,0,"14,753,947 "
12:04:02,548.45,0.11993110970211986,548.4772727272729,0,"14,810,513 "
12:05:02,548.36,0.11625705346060043,548.4545454545455,0,"14,903,133 "
12:06:02,548.6,0.11625705346060042,548.4545454545455,0,"14,949,849 "
12:07:02,548.53,0.10713396263750849,548.4463636363636,0,"15,274,570 "
12:08:02,548.4,0.10022289209145188,548.4309090909092,0,"15,332,180 "
12:09:02,548.39,0.10002479031563735,548.4236363636364,0,"15,400,344 "
12:10:02,548.37,0.08573455092983782,548.4036363636365,0,"15,448,013 "
12:11:02,548.41,0.08251220796228224,548.4109090909091,0,"15,508,198 "
12:12:02,548.41,0.07476685525437185,548.420909090909,0,"15,557,045 "
12:13:02,548.4,0.07265905891886822,548.4245454545454,0,"15,651,854 "
12:14:02,548.46,0.06919848085086164,548.4345454545454,0,"15,721,328 "
12:15:02,548.6,0.08407985185289597,548.4481818181819,0,"15,804,574 "
12:16:02,548.6,0.08934102183107612,548.47,0,"15,865,102 "
12:17:02,548.58,0.0868455454259658,548.4681818181817,0,"15,922,102 "
12:18:02,548.5,0.08531904150292845,548.4654545454546,0,"15,980,649 "
12:19:02,548.38,0.0868931137843703,548.4636363636364,0,"16,416,636 "
12:20:02,548.33,0.093012040454037,548.4581818181819,0,"16,517,062 "
12:21:02,548.2,0.11732556949019488,548.4427272727272,-1,"16,653,018 "
12:22:02,548.24,0.13101637018402879,548.4272727272727,0,"16,738,154 "
12:23:02,547.87,0.20726873999354967,548.3781818181818,-1,"16,913,566 "
12:24:02,547.53,0.31947270606010103,548.299090909091,-1,"17,074,337 "
12:25:02,547.38,0.4084884452678755,548.2009090909091,-1,"17,246,477 "
12:26:02,547.81,0.4013942642488987,548.1290909090909,0,"17,416,084 "
12:27:02,547.54,0.40400474590128255,548.0327272727272,0,"17,514,252 "
12:28:02,547.51,0.38906329553672436,547.9354545454545,0,"17,594,902 "
12:29:02,547.22,0.3941954878542328,547.8190909090908,0,"17,718,228 "
12:30:02,546.93,0.4257632912374022,547.6872727272727,0,"17,871,728 "
12:31:02,546.42,0.5094787483706641,547.5136363636364,-1,"18,106,459 "
12:32:02,546.34,0.5597948266408714,547.3445454545455,0,"18,284,837 "
12:33:02,546.38,0.5444824671417682,547.1754545454545,0,"18,431,784 "
12:34:03,546.14,0.5703877179255534,547.0181818181818,0,"18,670,462 "
12:35:02,546.28,0.5815084402789825,546.9045454545455,0,"18,876,765 "
12:36:02,546.6,0.566572995012713,546.8336363636364,0,"19,069,363 "
12:37:02,546.18,0.5012232969330446,546.6854545454546,0,"19,183,864 "
12:38:02,546.29,0.4314419413551921,546.5718181818182,0,"19,524,184 "
12:39:02,546.39,0.31426682351728114,546.47,0,"19,617,981 "
12:40:02,546.64,0.21788616331765723,546.4172727272727,0,"19,697,064 "
12:41:02,546.78,0.18801705567086852,546.4036363636363,1,"19,816,708 "
12:42:02,546.9,0.23626221600320496,546.4472727272728,0,"19,927,421 "
12:43:03,546.88,0.26341369907335377,546.4963636363636,0,"20,526,688 "
12:44:02,547.08,0.3083386567927162,546.56,0,"20,621,714 "
